iter	Passed	Remaining
0	56	56548
1	58	28947
2	59	19702
3	59	14891
4	60	11998
5	60	10069
6	61	8688
7	61	7664
8	62	6885
9	63	6251
10	63	5732
11	64	5293
12	64	4915
13	65	4589
14	65	4310
15	66	4072
16	66	3855
17	67	3658
18	67	3482
19	67	3326
20	68	3184
21	68	3052
22	69	2933
23	69	2826
24	69	2725
25	70	2631
26	70	2545
27	70	2464
28	71	2389
29	71	2320
30	72	2254
31	72	2193
32	72	2136
33	73	2082
34	73	2031
35	74	1983
36	74	1937
37	74	1894
38	75	1853
39	75	1814
40	75	1777
41	76	1741
42	76	1707
43	77	1676
44	77	1647
45	78	1622
46	78	1596
47	79	1571
48	79	1545
49	80	1521
50	80	1498
51	80	1474
52	81	1451
53	81	1429
54	81	1408
55	82	1388
56	82	1368
57	83	1350
58	83	1332
59	83	1314
60	84	1297
61	84	1280
62	85	1267
63	85	1252
64	86	1238
65	86	1223
66	86	1209
67	87	1195
68	87	1181
69	88	1169
70	88	1156
71	88	1144
72	89	1132
73	89	1120
74	90	1110
75	90	1099
76	90	1088
77	91	1078
78	91	1068
79	92	1065
80	93	1059
81	94	1056
82	94	1045
83	95	1037
84	95	1028
85	95	1019
86	96	1010
87	96	1002
88	97	993
89	97	986
90	97	978
91	98	970
92	98	963
93	99	955
94	99	948
95	99	941
96	100	935
97	100	928
98	101	921
99	101	915
100	102	908
101	102	902
102	102	896
103	103	889
104	103	883
105	104	878
106	104	873
107	105	867
108	105	861
109	105	855
110	106	850
111	106	844
112	106	839
113	107	834
114	107	829
115	108	826
116	108	821
117	109	817
118	109	812
119	110	808
120	110	802
121	111	799
122	111	794
123	111	789
124	112	785
125	112	780
126	112	775
127	113	771
128	113	767
129	114	763
130	114	758
131	114	754
132	115	753
133	116	749
134	116	745
135	116	741
136	117	738
137	117	734
138	117	730
139	118	726
140	118	722
141	118	718
142	119	714
143	119	710
144	120	711
145	121	708
146	121	705
147	121	702
148	122	699
149	122	696
150	123	692
151	123	689
152	124	686
153	124	685
154	125	682
155	125	679
156	126	677
157	126	676
158	127	673
159	127	670
160	127	666
161	128	663
162	128	661
163	129	658
164	129	655
165	129	652
166	130	649
167	130	647
168	131	644
169	131	641
170	131	639
171	132	636
172	132	634
173	133	631
174	133	628
175	133	626
176	134	623
177	134	621
178	134	618
179	135	616
180	135	614
181	136	611
182	136	609
183	136	607
184	137	605
185	137	605
186	137	605
187	137	601
188	138	599
189	138	597
190	139	595
191	139	592
192	139	591
193	140	589
194	140	587
195	141	585
196	141	583
197	142	581
198	142	579
199	142	577
200	143	575
201	143	573
202	144	572
203	144	570
204	145	568
205	145	566
206	145	564
207	146	562
208	146	561
209	147	559
210	147	557
211	148	555
212	148	553
213	148	552
214	149	550
215	149	548
216	150	546
217	150	544
218	150	543
219	151	541
220	151	539
221	152	538
222	152	536
223	153	535
224	153	533
225	153	531
226	154	530
227	154	528
228	154	526
229	155	524
230	155	523
231	156	521
232	156	519
233	156	517
234	157	516
235	157	514
236	157	512
237	158	511
238	158	509
239	159	508
240	159	506
241	159	505
242	160	503
243	160	501
244	161	500
245	161	498
246	161	497
247	162	495
248	162	494
249	162	492
250	163	491
251	163	489
252	164	488
253	164	486
254	164	485
255	165	483
256	165	482
257	166	481
258	166	480
259	166	480
260	167	478
261	167	477
262	167	476
263	168	474
264	168	473
265	169	471
266	169	470
267	169	469
268	170	468
269	170	466
270	171	465
271	171	463
272	171	462
